ticker,name,sector,cap_tier,exchange,adv_usd
0R1E.L,"Nintendo Co., Ltd.",Communication Services,large,LSE,124317725
SECU-B.ST,Securitas AB (publ),Industrials,large,STO,119458362
ALIV-SDB.ST,"Autoliv, Inc.",Consumer Cyclical,large,STO,115277611
BALD-B.ST,Fastighets AB Balder (publ),Real Estate,large,STO,113734936
INDU-C.ST,AB Industrivärden (publ),Financial Services,large,STO,109844282
BAYN.DE,Bayer AG,Unknown,large,XETRA,105683628
GN.CO,GN Store Nord A/S,Healthcare,large,CPH,101055231
TRYG.CO,Tryg A/S,Financial Services,large,CPH,96886231
SOBI.ST,Swedish Orphan Biovitrum AB (publ),Healthcare,large,STO,95512480
CHR.CO,Chr. Hansen Holding A/S,Basic Materials,large,CPH,95020378
AZA.ST,Avanza Bank Holding AB (publ),Financial Services,large,STO,85557618
INVE-A.ST,Investor AB (publ),Financial Services,large,STO,85134949
ZEAL.CO,Zealand Pharma A/S,Healthcare,large,CPH,84638587
S32.L,South32 Limited,Basic Materials,large,LSE,81517105
SSAB-A.ST,SSAB AB (publ),Basic Materials,large,STO,78956225
LIFCO-B.ST,Lifco AB (publ),Industrials,large,STO,77369952
BEIJ-B.ST,Beijer Ref AB (publ),Industrials,large,STO,74482744
DEMANT.CO,Demant A/S,Healthcare,large,CPH,74152289
MAERSK-A.CO,A.P. Møller - Mærsk A/S,Industrials,large,CPH,73241690
ASM.AS,ASM International N.V.,Unknown,large,AMS,72139960
SAGA-B.ST,AB Sagax (publ),Real Estate,large,STO,71079546
ROCK-B.CO,Rockwool A/S,Industrials,large,CPH,70147347
HOLM-B.ST,Holmen AB (publ),Basic Materials,large,STO,69999997
RWE.DE,RWE AG,Unknown,large,XETRA,69437322
INDT.ST,Indutrade AB (publ),Industrials,large,STO,69255270
ADDT-B.ST,Addtech AB (publ.),Industrials,large,STO,69159276
TIGO-SDB.ST,Millicom International Cellular S.A.,Communication Services,large,STO,68455080
AXFO.ST,Axfood AB (publ),Consumer Defensive,large,STO,67711558
BAVA.CO,Bavarian Nordic A/S,Healthcare,large,CPH,67420222
AMBU-B.CO,Ambu A/S,Healthcare,large,CPH,66151406
JYSK.CO,Jyske Bank A/S,Financial Services,large,CPH,65333818
ALSYDB.CO,AL Sydbank A/S,Financial Services,large,CPH,64314967
AAK.ST,AAK AB (publ.),Consumer Defensive,large,STO,63629042
ISS.CO,ISS A/S,Industrials,large,CPH,63575293
ENR.DE,Siemens Energy AG,Industrials,large,XETRA,62897437
LATO-B.ST,Investment AB Latour (publ),Financial Services,large,STO,55208048
NKT.CO,NKT A/S,Industrials,large,CPH,55191996
EPI-B.ST,Epiroc AB (publ),Industrials,large,STO,54575391
KIND-SDB.ST,Kindred Group plc,Consumer Cyclical,large,STO,54569135
0QYR.L,Panasonic Holdings Corporation,Technology,large,LSE,53726679
NDA-FI.HE,Nordea Bank Abp,Financial Services,large,HEL,52572504
LUND-B.ST,L E Lundbergföretagen AB (publ),Financial Services,large,STO,52382985
FNOX.ST,Fortnox AB (publ),Technology,large,STO,51256705
RBREW.CO,Royal Unibrew A/S,Consumer Defensive,large,CPH,50225865
INDU-A.ST,AB Industrivärden (publ),Financial Services,large,STO,50034438
SAVE.ST,Nordnet AB (publ),Financial Services,large,STO,48483418
NOKIA.HE,Nokia Oyj,Technology,large,HEL,47803966
LUMI.ST,Lundin Mining Corporation,Basic Materials,large,STO,44396700
CCEP.L,Coca-Cola Europacific Partners PLC,Consumer Defensive,large,LSE,43477049
FLS.CO,FLSmidth & Co. A/S,Industrials,large,CPH,43147908
NDA-DK.CO,Nordea Bank Abp,Financial Services,large,CPH,41928390
HPOL-B.ST,HEXPOL AB (publ),Basic Materials,large,STO,39062595
MTRS.ST,Munters Group AB (publ),Industrials,large,STO,37535755
AIR.DE,Airbus SE,Industrials,large,XETRA,37466734
SIM.CO,SimCorp A/S,Technology,large,CPH,36974942
NETC.CO,Netcompany Group A/S,Technology,large,CPH,36442432
TRMD-A.CO,TORM plc,Energy,large,CPH,36184659
SYDB.CO,Sydbank A/S,Financial Services,large,CPH,33471355
LOOMIS.ST,Loomis AB (publ),Industrials,large,STO,33127251
KPN.AS,Koninklijke KPN N.V.,Unknown,large,AMS,33095047
STE-R.ST,Stora Enso Oyj,Basic Materials,large,STO,32760657
WIHL.ST,Wihlborgs Fastigheter AB (publ),Real Estate,large,STO,32213270
ASMDEE-B.ST,Asmodee Group AB (publ),Consumer Cyclical,large,STO,32064745
NESTE.HE,Neste Oyj,Energy,large,HEL,30435930
SWEC-B.ST,Sweco AB (publ),Industrials,large,STO,29856443
