ticker
AAPL
MSFT
NVDA
GOOGL
AMZN
META
TSLA
AVGO
LLY
JPM
V
UNH
WMT
XOM
MA
JNJ
ORCL
HD
PG
COST
ABBV
NFLX
BAC
CVX
KO
ADBE
PEP
CRM
TMO
CSCO
MCD
AMD
ABT
ACN
LIN
WFC
TXN
DIS
INTC
CAT
NKE
PM
DHR
GE
QCOM
AMGN
NOW
NEE
UNP
RTX
